Tanggal,Total_Kredit,Kredit_Modal_Kerja,Kredit_Investasi,Kredit_Konsumsi,NPL_Gross_Pct,BI_Rate_Pct,DPK
2017-01-01,4344.48,1912.05,1182.84,1203.52,3.02,4.74,5109.35
2017-02-01,4480.57,2003.32,1230.43,1250.72,2.92,4.42,5268.5
2017-03-01,4511.82,1989.37,1248.32,1268.91,3.13,4.09,5253.57
2017-04-01,4633.92,2093.09,1287.31,1324.05,2.87,4.3,5429.13
2017-05-01,4627.3,2043.48,1254.5,1311.08,3.64,4.13,5404.69
2017-06-01,4685.32,2078.52,1283.44,1309.01,2.81,4.43,5616.29
2017-07-01,4717.97,2115.77,1290.32,1320.69,2.34,4.5,5613.99
2017-08-01,4847.15,2132.37,1323.17,1339.16,2.43,4.84,5783.22
2017-09-01,4731.23,2109.95,1327.57,1324.41,2.27,4.57,5618.93
2017-10-01,4617.64,2080.99,1275.92,1287.74,2.3,4.46,5392.36
2017-11-01,4651.72,2037.87,1260.31,1308.29,2.73,4.67,5462.81
2017-12-01,4571.73,2038.11,1270.99,1265.19,3.03,4.06,5419.11
2018-01-01,4714.82,2103.29,1328.41,1329.5,2.89,4.55,5502.38
2018-02-01,4723.84,2117.74,1314.54,1350.26,3.06,4.65,5609.78
2018-03-01,4840.29,2129.19,1308.29,1353.32,3.22,4.2,5699.53
2018-04-01,4962.32,2181.82,1357.37,1396.68,2.54,4.73,5836.79
2018-05-01,5024.01,2246.12,1400.61,1419.14,2.6,4.57,5963.88
2018-06-01,5042.6,2249.9,1376.1,1404.71,3.21,4.42,5972.49
2018-07-01,5076.29,2263.96,1402.64,1425.39,3.04,4.63,5971.97
2018-08-01,5086.7,2270.51,1410.46,1424.5,2.29,4.95,6060.27
2018-09-01,5001.75,2212.18,1361.58,1402.25,2.47,4.54,5848.01
2018-10-01,4969.29,2215.98,1365.66,1377.49,2.46,4.55,5894.56
2018-11-01,4930.43,2199.9,1307.25,1380.96,3.47,4.41,5847.56
2018-12-01,5010.69,2215.47,1362.57,1411.96,3.14,4.33,5897.13
2019-01-01,5057.33,2287.83,1386.98,1442.17,3.01,4.67,5983.96
2019-02-01,5069.14,2265.24,1375.3,1436.62,2.95,4.33,5919.02
2019-03-01,5251.09,2312.91,1468.54,1509.06,2.82,4.51,6242.49
2019-04-01,5272.58,2359.43,1428.51,1462.51,3.29,4.4,6212.4
2019-05-01,5296.76,2337.57,1450.01,1498.8,2.82,4.6,6224.05
2019-06-01,5398.87,2418.24,1486.65,1514.98,2.37,4.57,6423.11
2019-07-01,5464.34,2454.8,1524.31,1569.43,2.36,4.71,6412.7
2019-08-01,5478.6,2421.57,1485.08,1519.46,2.04,4.4,6394.33
2019-09-01,5366.97,2407.57,1493.36,1487.64,2.81,4.45,6255.19
2019-10-01,5324.22,2377.53,1464.31,1479.99,2.63,4.3,6312.88
2019-11-01,5302.51,2376.06,1443.47,1446.47,2.55,4.41,6192.94
2019-12-01,5343.46,2415.78,1476.38,1486.71,3.24,4.58,6393.03
2020-01-01,5356.76,2378.85,1476.09,1486.23,3.07,4.65,6216.88
2020-02-01,5476.57,2422.0,1497.05,1536.15,2.97,4.32,6547.17
2020-03-01,5523.17,2440.02,1519.92,1552.64,3.76,4.67,6527.9
2020-04-01,5272.53,2329.96,1444.16,1510.08,4.59,4.77,6216.74
2020-05-01,5500.24,2446.06,1514.27,1557.17,3.94,4.58,6463.04
2020-06-01,5668.82,2529.45,1568.86,1576.89,3.94,4.88,6709.16
2020-07-01,5601.15,2498.05,1564.11,1552.15,3.49,4.35,6607.48
2020-08-01,5668.3,2538.94,1540.22,1595.98,3.15,4.25,6743.76
2020-09-01,5607.46,2495.58,1574.05,1546.32,3.78,4.14,6622.51
2020-10-01,5645.55,2541.34,1523.24,1613.72,2.94,4.8,6669.26
2020-11-01,5640.32,2504.65,1548.81,1600.52,2.13,4.63,6637.39
2020-12-01,5705.22,2593.23,1577.76,1589.02,2.97,4.49,6729.32
2021-01-01,5713.16,2554.87,1575.33,1568.85,2.85,4.56,6756.91
2021-02-01,5891.78,2604.7,1610.9,1674.07,3.09,4.27,6866.79
2021-03-01,5791.52,2555.81,1589.55,1619.56,3.12,4.99,6766.58
2021-04-01,5999.79,2679.56,1642.55,1702.22,2.97,4.53,7116.91
2021-05-01,6004.04,2667.33,1642.27,1652.43,3.06,4.52,7093.31
2021-06-01,6030.78,2697.98,1671.21,1677.83,2.55,4.65,7107.12
2021-07-01,6094.97,2721.73,1681.47,1706.69,2.63,4.6,7192.98
2021-08-01,6020.15,2677.51,1645.15,1686.49,2.35,4.54,7121.16
2021-09-01,6067.75,2683.21,1682.12,1690.87,2.23,4.34,7132.95
2021-10-01,6027.1,2651.76,1662.06,1698.8,2.09,4.59,7073.06
2021-11-01,6027.01,2673.09,1669.62,1668.34,2.38,4.88,7121.66
2021-12-01,5949.14,2664.5,1645.46,1663.2,3.03,4.77,6971.07
2022-01-01,6014.83,2680.88,1641.64,1686.32,3.2,5.82,7117.92
2022-02-01,6135.24,2705.27,1678.79,1727.13,2.94,5.4,7154.45
2022-03-01,6287.05,2801.2,1740.15,1773.18,3.33,5.3,7470.18
2022-04-01,6314.05,2817.46,1745.52,1747.69,3.46,5.47,7474.2
2022-05-01,6312.73,2791.49,1735.69,1739.95,2.55,5.51,7461.83
2022-06-01,6403.78,2852.76,1762.8,1816.06,2.96,5.72,7605.6
2022-07-01,6431.66,2863.25,1787.87,1806.85,2.35,5.16,7672.63
2022-08-01,6489.63,2865.03,1775.78,1803.62,2.54,5.81,7708.48
2022-09-01,6382.49,2847.36,1763.39,1815.02,2.07,5.47,7439.29
2022-10-01,6332.73,2829.28,1738.47,1775.25,1.83,5.41,7408.64
2022-11-01,6279.31,2815.95,1723.54,1779.43,2.06,5.3,7378.34
2022-12-01,6243.05,2799.23,1733.32,1749.27,2.81,5.17,7368.11
2023-01-01,6400.99,2820.89,1772.65,1829.37,3.13,5.66,7579.05
2023-02-01,6506.01,2876.42,1801.36,1853.28,2.96,5.51,7640.81
2023-03-01,6582.53,2939.53,1829.78,1838.63,3.49,5.24,7776.73
2023-04-01,6625.14,2958.47,1822.23,1872.53,2.73,5.24,7779.9
2023-05-01,6609.33,2951.45,1827.79,1862.23,3.03,5.43,7768.43
2023-06-01,6698.21,3057.76,1837.35,1900.13,2.44,5.83,7833.55
2023-07-01,6748.31,3014.42,1860.65,1872.16,2.35,5.45,7916.85
2023-08-01,6746.39,3024.85,1853.3,1901.34,2.38,5.2,7893.15
2023-09-01,6743.27,3019.84,1855.85,1907.17,2.04,5.45,7908.27
2023-10-01,6702.11,2995.47,1852.01,1844.93,2.25,5.45,7961.17
2023-11-01,6718.28,2983.33,1835.25,1859.82,2.85,4.96,7880.1
2023-12-01,6653.21,2975.86,1861.02,1826.19,2.63,5.49,7982.41
